release_date,time,actual,forcast,previous,year_,month_
"Oct 01, 1997 (Sep)",13:30,0.20%, ,0.20%,1997,9
"Sep 01, 1997 (Aug)",13:30,0.20%, ,0.10%,1997,8
"Aug 01, 1997 (Jul)",13:30,0.10%, ,0.20%,1997,7
"Jul 01, 1997 (Jun)",13:30,0.20%, ,0.00%,1997,6
"Jun 01, 1997 (May)",13:30,0.00%, ,0.10%,1997,5
"May 01, 1997 (Apr)",13:30,0.10%, ,0.10%,1997,4
"Apr 01, 1997 (Mar)",13:30,0.10%, ,0.20%,1997,3
"Mar 01, 1997 (Feb)",13:30,0.20%, ,0.20%,1997,2
"Feb 01, 1997 (Jan)",13:30,0.20%, ,0.30%,1997,1
"Jan 01, 1997 (Dec)",13:30,0.30%, ,0.30%,1996,12
"Dec 01, 1996 (Nov)",13:30,0.30%, ,0.30%,1996,11
"Nov 01, 1996 (Oct)",13:30,0.30%, ,0.30%,1996,10
"Oct 01, 1996 (Sep)",13:30,0.30%, ,0.10%,1996,9
"Sep 01, 1996 (Aug)",13:30,0.10%, ,0.20%,1996,8
"Aug 01, 1996 (Jul)",13:30,0.20%, ,0.20%,1996,7
"Jul 01, 1996 (Jun)",13:30,0.20%, ,0.20%,1996,6
"Jun 01, 1996 (May)",13:30,0.20%, ,0.40%,1996,5
"May 01, 1996 (Apr)",13:30,0.40%, ,0.30%,1996,4
"Apr 01, 1996 (Mar)",13:30,0.30%, ,0.20%,1996,3
"Mar 01, 1996 (Feb)",13:30,0.20%, ,0.50%,1996,2
"Feb 01, 1996 (Jan)",13:30,0.50%, ,0.10%,1996,1
"Jan 01, 1996 (Dec)",13:30,0.10%, ,0.10%,1995,12
"Dec 01, 1995 (Nov)",13:30,0.10%, ,0.30%,1995,11
"Nov 01, 1995 (Oct)",13:30,0.30%, ,0.10%,1995,10
"Oct 01, 1995 (Sep)",13:30,0.10%, ,0.20%,1995,9
"Sep 01, 1995 (Aug)",13:30,0.20%, ,0.10%,1995,8
"Aug 01, 1995 (Jul)",13:30,0.10%, ,0.20%,1995,7
"Jul 01, 1995 (Jun)",13:30,0.20%, ,0.20%,1995,6
"Jun 01, 1995 (May)",13:30,0.20%, ,0.40%,1995,5
"May 01, 1995 (Apr)",13:30,0.40%, ,0.20%,1995,4
